date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:15	231301/231301	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2012:13:18%20GMT	https://canvastemplate.com/index.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/index.html	(from )
15:07:15	8981/8981	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202024%2008:07:15%20GMT	https://canvastemplate.com/robots.txt		(from )
15:07:16	629688/629688	---MCZ	200	added ('OK')	text/css	etag:W/%226570701b-99cd4%22	https://canvastemplate.com/style.css	C:/My%20Web%20Sites/Canvas/canvastemplate.com/style.css	(from https://canvastemplate.com/index.html)
15:07:16	2896/2896	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6f8c3-dd5%22	https://canvastemplate.com/css/font-icons.css	C:/My%20Web%20Sites/Canvas/canvastemplate.com/css/font-icons.css	(from https://canvastemplate.com/index.html)
15:07:16	18172/18172	---MCZ	200	added ('OK')	text/css	etag:W/%226564ab5d-4804%22	https://canvastemplate.com/css/swiper.css	C:/My%20Web%20Sites/Canvas/canvastemplate.com/css/swiper.css	(from https://canvastemplate.com/index.html)
15:07:16	0/0	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6f8c0-112%22	https://canvastemplate.com/css/custom.css	C:/My%20Web%20Sites/Canvas/canvastemplate.com/css/custom.css	(from https://canvastemplate.com/index.html)
15:07:16	1571/1571	---M--	200	added ('OK')	image/png	etag:%226408669d-623%22	https://canvastemplate.com/images/logo@2x.png	C:/My%20Web%20Sites/Canvas/canvastemplate.com/images/logo@2x.png	(from https://canvastemplate.com/index.html)
15:07:17	1571/1571	---M--	200	added ('OK')	image/png	etag:%226408669d-623%22	https://canvastemplate.com/images/logo-dark@2x.png	C:/My%20Web%20Sites/Canvas/canvastemplate.com/images/logo-dark@2x.png	(from https://canvastemplate.com/index.html)
15:07:17	854/854	---M--	200	added ('OK')	image/jpeg	etag:%226408669d-356%22	https://canvastemplate.com/images/shop/small/1.jpg	C:/My%20Web%20Sites/Canvas/canvastemplate.com/images/shop/small/1.jpg	(from https://canvastemplate.com/index.html)
15:07:17	852/852	---M--	200	added ('OK')	image/jpeg	etag:%226408669d-354%22	https://canvastemplate.com/images/shop/small/6.jpg	C:/My%20Web%20Sites/Canvas/canvastemplate.com/images/shop/small/6.jpg	(from https://canvastemplate.com/index.html)
15:07:18	108229/108229	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2011:48:12%20GMT	https://canvastemplate.com/niche-demos.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/niche-demos.html	(from https://canvastemplate.com/index.html)
15:07:19	206676/206676	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Sep%202023%2011:03:25%20GMT	https://canvastemplate.com/blocks.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/blocks.html	(from https://canvastemplate.com/index.html)
15:07:19	74927/74927	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2015:08:25%20GMT	https://canvastemplate.com/homepage-demos.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/homepage-demos.html	(from https://canvastemplate.com/index.html)
15:07:20	87321/87321	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:40:06%20GMT	https://canvastemplate.com/onepage-demos.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/onepage-demos.html	(from https://canvastemplate.com/index.html)
15:07:20	86336/86336	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:51:13%20GMT	https://canvastemplate.com/slider-revolution.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-revolution.html	(from https://canvastemplate.com/index.html)
15:07:21	126797/126797	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:49:43%20GMT	https://canvastemplate.com/rs-demos.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/rs-demos.html	(from https://canvastemplate.com/index.html)
15:07:21	83175/83175	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:51:08%20GMT	https://canvastemplate.com/slider-revolution-fullwidth.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-revolution-fullwidth.html	(from https://canvastemplate.com/index.html)
15:07:22	80171/80171	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:51:11%20GMT	https://canvastemplate.com/slider-revolution-kenburns.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-revolution-kenburns.html	(from https://canvastemplate.com/index.html)
15:07:22	83960/83960	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:51:11%20GMT	https://canvastemplate.com/slider-revolution-html5-videos.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-revolution-html5-videos.html	(from https://canvastemplate.com/index.html)
15:07:22	70264/70264	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:59%20GMT	https://canvastemplate.com/slider-canvas.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas.html	(from https://canvastemplate.com/index.html)
15:07:22	71222/71222	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:52%20GMT	https://canvastemplate.com/slider-canvas-fade.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas-fade.html	(from https://canvastemplate.com/index.html)
15:07:23	71374/71374	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:51%20GMT	https://canvastemplate.com/slider-canvas-autoplay.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas-autoplay.html	(from https://canvastemplate.com/index.html)
15:07:23	72362/72362	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:57%20GMT	https://canvastemplate.com/slider-canvas-video-event.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas-video-event.html	(from https://canvastemplate.com/index.html)
15:07:23	71338/71338	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:54%20GMT	https://canvastemplate.com/slider-canvas-pagination.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas-pagination.html	(from https://canvastemplate.com/index.html)
15:07:23	79762/79762	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:50:47%20GMT	https://canvastemplate.com/slider-canvas-3.html	C:/My%20Web%20Sites/Canvas/canvastemplate.com/slider-canvas-3.html	(from https://canvastemplate.com/index.html)
